timestamp,gazepoint_x,gazepoint_y,pupil_area_right_sq_mm,pupil_area_left_sq_mm,eye_event
2,0.5171,0.8311,0.44,0.61,S
3,0.4765,0.4332,0.42,0.58,S
3,0.4954,0.5438,0.46,0.62,S
3,0.4887,0.6889,0.51,0.65,S
3,0.5266,0.8853,0.58,0.84,S
3,0.5046,0.8318,0.53,0.7,S
3,0.518,0.9859,0.53,0.63,S
3,0.5279,0.9808,0.52,0.72,S
3,0.5134,0.8745,0.52,0.77,S
3,0.5061,0.861,0.5,0.66,S
4,0.5421,1.0145,0.5,0.45,S
4,0.5664,1.1191,0.37,0.4,S
4,0.4542,0.4795,0.44,0.64,S
4,0.4545,0.5418,0.49,0.65,S
4,0.4554,0.6348,0.5,0.62,S
4,0.4638,0.5004,0.46,0.61,S
4,0.4592,0.4881,0.51,0.66,S
4,0.464,0.491,0.47,0.64,FB
4,0.4778,0.6483,0.53,0.65,FEx0.464y0.491d0.123
4,0.4675,0.6476,0.51,0.63,S
5,0.4743,0.6516,0.5,0.64,S
5,0.478,0.6626,0.43,0.55,S
5,0.4666,0.3588,0.44,0.51,S
5,0.4656,0.3746,0.43,0.58,S
5,0.481,0.3773,0.46,0.63,S
5,0.4711,0.4986,0.47,0.63,S
5,0.4625,0.5518,0.46,0.57,S
5,0.4284,0.697,0.48,0.66,S
5,0.5028,0.8324,0.55,0.57,S
6,0.4526,0.6878,0.46,0.63,S
6,0.4518,0.6903,0.45,0.54,S
6,0.4536,0.7173,0.46,0.56,FB
